Date,Time,Time since 1970-01-01T00:00:00Z,,Time since start of measurement,,I,
2026-03-19,15:24:10.113933,1773930250.113933,s,55.042006,s,12.92,mV
2026-03-19,15:24:10.366238,1773930250.366238,s,55.294311,s,12.92,mV
2026-03-19,15:24:10.614462,1773930250.614462,s,55.542535,s,11.69,mV
2026-03-19,15:24:10.866582,1773930250.866582,s,55.794655,s,11.69,mV
2026-03-19,15:24:11.114938,1773930251.114938,s,56.043011,s,13.57,mV
2026-03-19,15:24:11.366912,1773930251.366912,s,56.294985,s,13.57,mV
2026-03-19,15:24:11.615393,1773930251.615393,s,56.543466,s,13.57,mV
2026-03-19,15:24:11.867209,1773930251.867209,s,56.795282,s,15.9,mV
2026-03-19,15:24:12.115916,1773930252.115916,s,57.043989,s,15.9,mV
2026-03-19,15:24:12.367462,1773930252.367462,s,57.295535,s,16.97,mV
2026-03-19,15:24:12.616390,1773930252.61639,s,57.544463,s,16.97,mV
2026-03-19,15:24:12.867798,1773930252.867798,s,57.795871,s,16.66,mV
2026-03-19,15:24:13.116853,1773930253.116853,s,58.044926,s,16.66,mV
2026-03-19,15:24:13.368099,1773930253.368099,s,58.296172,s,16.66,mV
2026-03-19,15:24:13.617304,1773930253.617304,s,58.545377,s,15.29,mV
2026-03-19,15:24:13.868409,1773930253.868409,s,58.796482,s,15.29,mV
2026-03-19,15:24:14.117732,1773930254.117732,s,59.045805,s,14.33,mV
2026-03-19,15:24:14.368731,1773930254.368731,s,59.296804,s,14.33,mV
2026-03-19,15:24:14.618173,1773930254.618173,s,59.546246,s,14.19,mV
2026-03-19,15:24:14.869171,1773930254.869171,s,59.797244,s,14.19,mV
2026-03-19,15:24:15.118598,1773930255.118598,s,60.046671,s,12.61,mV
2026-03-19,15:24:15.369761,1773930255.369761,s,60.297834,s,12.61,mV
2026-03-19,15:24:15.618991,1773930255.618991,s,60.547064,s,12.61,mV
2026-03-19,15:24:15.870221,1773930255.870221,s,60.798294,s,11.44,mV
2026-03-19,15:24:16.119275,1773930256.119275,s,61.047348,s,11.44,mV
2026-03-19,15:24:16.370734,1773930256.370734,s,61.298807,s,11.44,mV
2026-03-19,15:24:16.619680,1773930256.61968,s,61.547753,s,11.44,mV
2026-03-19,15:24:16.871183,1773930256.871183,s,61.799256,s,12.89,mV
2026-03-19,15:24:17.119989,1773930257.119989,s,62.048062,s,12.89,mV
2026-03-19,15:24:17.371617,1773930257.371617,s,62.29969,s,12.89,mV
2026-03-19,15:24:17.620223,1773930257.620223,s,62.548296,s,12.89,mV
2026-03-19,15:24:17.872028,1773930257.872028,s,62.800101,s,12.89,mV
2026-03-19,15:24:18.120543,1773930258.120543,s,63.048616,s,12.85,mV
2026-03-19,15:24:18.372285,1773930258.372285,s,63.300358,s,12.85,mV
2026-03-19,15:24:18.620872,1773930258.620872,s,63.548945,s,12.85,mV
2026-03-19,15:24:18.872613,1773930258.872613,s,63.800686,s,13.03,mV
2026-03-19,15:24:19.121211,1773930259.121211,s,64.049284,s,13.03,mV
2026-03-19,15:24:19.373098,1773930259.373098,s,64.301171,s,13.62,mV
2026-03-19,15:24:19.621563,1773930259.621563,s,64.549636,s,13.62,mV
2026-03-19,15:24:19.873542,1773930259.873542,s,64.801615,s,15.53,mV
2026-03-19,15:24:20.121905,1773930260.121905,s,65.049978,s,15.53,mV
2026-03-19,15:24:20.373977,1773930260.373977,s,65.30205,s,15.89,mV
2026-03-19,15:24:20.622209,1773930260.622209,s,65.550282,s,15.89,mV
2026-03-19,15:24:20.874436,1773930260.874436,s,65.802509,s,15.89,mV
2026-03-19,15:24:21.122427,1773930261.122427,s,66.0505,s,17.49,mV
2026-03-19,15:24:21.374895,1773930261.374895,s,66.302968,s,17.49,mV
2026-03-19,15:24:21.623003,1773930261.623003,s,66.551076,s,14.95,mV
2026-03-19,15:24:21.875315,1773930261.875315,s,66.803388,s,14.95,mV
2026-03-19,15:24:22.123444,1773930262.123444,s,67.051517,s,14.95,mV
2026-03-19,15:24:22.375700,1773930262.3757,s,67.303773,s,15.1,mV
2026-03-19,15:24:22.623828,1773930262.623828,s,67.551901,s,15.1,mV
2026-03-19,15:24:22.876042,1773930262.876042,s,67.804115,s,14.45,mV
2026-03-19,15:24:23.124253,1773930263.124253,s,68.052326,s,14.45,mV
2026-03-19,15:24:23.376566,1773930263.376566,s,68.304639,s,12.96,mV
2026-03-19,15:24:23.624736,1773930263.624736,s,68.552809,s,12.96,mV
2026-03-19,15:24:23.876821,1773930263.876821,s,68.804894,s,12.96,mV
2026-03-19,15:24:24.125176,1773930264.125176,s,69.053249,s,12.96,mV
2026-03-19,15:24:24.377168,1773930264.377168,s,69.305241,s,12.96,mV
2026-03-19,15:24:24.625636,1773930264.625636,s,69.553709,s,12.96,mV
2026-03-19,15:24:24.877406,1773930264.877406,s,69.805479,s,12.96,mV
2026-03-19,15:24:25.125983,1773930265.125983,s,70.054056,s,9.95,mV
2026-03-19,15:24:25.377761,1773930265.377761,s,70.305834,s,9.95,mV
2026-03-19,15:24:25.626212,1773930265.626212,s,70.554285,s,9.95,mV
2026-03-19,15:24:25.878100,1773930265.8781,s,70.806173,s,9.31,mV
2026-03-19,15:24:26.126735,1773930266.126735,s,71.054808,s,9.31,mV
2026-03-19,15:24:26.378350,1773930266.37835,s,71.306423,s,9.31,mV
2026-03-19,15:24:26.627202,1773930266.627202,s,71.555275,s,9.31,mV
2026-03-19,15:24:26.878678,1773930266.878678,s,71.806751,s,12.58,mV
2026-03-19,15:24:27.127686,1773930267.127686,s,72.055759,s,12.58,mV
2026-03-19,15:24:27.379024,1773930267.379024,s,72.307097,s,12.58,mV
2026-03-19,15:24:27.628132,1773930267.628132,s,72.556205,s,14.77,mV
2026-03-19,15:24:27.879271,1773930267.879271,s,72.807344,s,14.77,mV
2026-03-19,15:24:28.128709,1773930268.128709,s,73.056782,s,14.69,mV
2026-03-19,15:24:28.379891,1773930268.379891,s,73.307964,s,14.69,mV
2026-03-19,15:24:28.629125,1773930268.629125,s,73.557198,s,14.69,mV
2026-03-19,15:24:28.880389,1773930268.880389,s,73.808462,s,15.71,mV
2026-03-19,15:24:29.129511,1773930269.129511,s,74.057584,s,15.71,mV
2026-03-19,15:24:29.380843,1773930269.380843,s,74.308916,s,16.92,mV
2026-03-19,15:24:29.629901,1773930269.629901,s,74.557974,s,16.92,mV
2026-03-19,15:24:29.881354,1773930269.881354,s,74.809427,s,15.47,mV
2026-03-19,15:24:30.130285,1773930270.130285,s,75.058358,s,15.47,mV
2026-03-19,15:24:30.381766,1773930270.381766,s,75.309839,s,15.47,mV
2026-03-19,15:24:30.630512,1773930270.630512,s,75.558585,s,14.45,mV
2026-03-19,15:24:30.882256,1773930270.882256,s,75.810329,s,14.45,mV
2026-03-19,15:24:31.130744,1773930271.130744,s,76.058817,s,13.83,mV
2026-03-19,15:24:31.382764,1773930271.382764,s,76.310837,s,13.83,mV
2026-03-19,15:24:31.631021,1773930271.631021,s,76.559094,s,12.49,mV
2026-03-19,15:24:31.883237,1773930271.883237,s,76.81131,s,12.49,mV
2026-03-19,15:24:32.131332,1773930272.131332,s,77.059405,s,12.49,mV
2026-03-19,15:24:32.383640,1773930272.38364,s,77.311713,s,12.49,mV
2026-03-19,15:24:32.631818,1773930272.631818,s,77.559891,s,12.49,mV
2026-03-19,15:24:32.884016,1773930272.884016,s,77.812089,s,12.49,mV
2026-03-19,15:24:33.132347,1773930273.132347,s,78.06042,s,12.49,mV
2026-03-19,15:24:33.384352,1773930273.384352,s,78.312425,s,12.52,mV
2026-03-19,15:24:33.632760,1773930273.63276,s,78.560833,s,12.52,mV
2026-03-19,15:24:33.884692,1773930273.884692,s,78.812765,s,9.68,mV
2026-03-19,15:24:34.133124,1773930274.133124,s,79.061197,s,9.68,mV
2026-03-19,15:24:34.385030,1773930274.38503,s,79.313103,s,9.68,mV
2026-03-19,15:24:34.633374,1773930274.633374,s,79.561447,s,11.99,mV
2026-03-19,15:24:34.885539,1773930274.885539,s,79.813612,s,11.99,mV
2026-03-19,15:24:35.133795,1773930275.133795,s,80.061868,s,13.25,mV
2026-03-19,15:24:35.385862,1773930275.385862,s,80.313935,s,13.25,mV
2026-03-19,15:24:35.634264,1773930275.634264,s,80.562337,s,13.86,mV
2026-03-19,15:24:35.886181,1773930275.886181,s,80.814254,s,13.86,mV
2026-03-19,15:24:36.134688,1773930276.134688,s,81.062761,s,16.47,mV
2026-03-19,15:24:36.386602,1773930276.386602,s,81.314675,s,16.47,mV
2026-03-19,15:24:36.635136,1773930276.635136,s,81.563209,s,16.47,mV
2026-03-19,15:24:36.886995,1773930276.886995,s,81.815068,s,14.2,mV
2026-03-19,15:24:37.135598,1773930277.135598,s,82.063671,s,14.2,mV
2026-03-19,15:24:37.387307,1773930277.387307,s,82.31538,s,16.55,mV
2026-03-19,15:24:37.636125,1773930277.636125,s,82.564198,s,16.55,mV
2026-03-19,15:24:37.887679,1773930277.887679,s,82.815752,s,14.37,mV
2026-03-19,15:24:38.136649,1773930278.136649,s,83.064722,s,14.37,mV
2026-03-19,15:24:38.388170,1773930278.38817,s,83.316243,s,14.37,mV
2026-03-19,15:24:38.636997,1773930278.636997,s,83.56507,s,15.71,mV
2026-03-19,15:24:38.888579,1773930278.888579,s,83.816652,s,15.71,mV
2026-03-19,15:24:39.137440,1773930279.13744,s,84.065513,s,13.94,mV
2026-03-19,15:24:39.388926,1773930279.388926,s,84.316999,s,13.94,mV
2026-03-19,15:24:39.637904,1773930279.637904,s,84.565977,s,12.89,mV
2026-03-19,15:24:39.889382,1773930279.889382,s,84.817455,s,12.89,mV
2026-03-19,15:24:40.138348,1773930280.138348,s,85.066421,s,12.89,mV
2026-03-19,15:24:40.389708,1773930280.389708,s,85.317781,s,11.62,mV
2026-03-19,15:24:40.638785,1773930280.638785,s,85.566858,s,11.62,mV
2026-03-19,15:24:40.890009,1773930280.890009,s,85.818082,s,11.57,mV
2026-03-19,15:24:41.139207,1773930281.139207,s,86.06728,s,11.57,mV
