Date,Time,Time since 1970-01-01T00:00:00Z,,t,,I,
2026-03-17,15:18:58.875604,1773757138.875604,s,72.554484,s,13.09,mV
2026-03-17,15:18:59.125453,1773757139.125453,s,72.804333,s,13.43,mV
2026-03-17,15:18:59.376029,1773757139.376029,s,73.054909,s,13.43,mV
2026-03-17,15:18:59.625744,1773757139.625744,s,73.304624,s,14.62,mV
2026-03-17,15:18:59.876455,1773757139.876455,s,73.555335,s,14.62,mV
2026-03-17,15:19:00.126233,1773757140.126233,s,73.805113,s,13.44,mV
2026-03-17,15:19:00.376771,1773757140.376771,s,74.055651,s,13.44,mV
2026-03-17,15:19:00.626855,1773757140.626855,s,74.305735,s,13.44,mV
2026-03-17,15:19:00.877101,1773757140.877101,s,74.555981,s,13.18,mV
2026-03-17,15:19:01.127314,1773757141.127314,s,74.806194,s,13.18,mV
2026-03-17,15:19:01.377525,1773757141.377525,s,75.056405,s,11.89,mV
2026-03-17,15:19:01.627765,1773757141.627765,s,75.306645,s,11.89,mV
2026-03-17,15:19:01.877955,1773757141.877955,s,75.556835,s,11.89,mV
2026-03-17,15:19:02.128260,1773757142.12826,s,75.80714,s,11.43,mV
2026-03-17,15:19:02.378448,1773757142.378448,s,76.057328,s,11.43,mV
2026-03-17,15:19:02.628770,1773757142.62877,s,76.30765,s,11.43,mV
2026-03-17,15:19:02.878771,1773757142.878771,s,76.557651,s,11.43,mV
2026-03-17,15:19:03.129209,1773757143.129209,s,76.808089,s,9.29,mV
2026-03-17,15:19:03.379200,1773757143.3792,s,77.05808,s,9.29,mV
2026-03-17,15:19:03.629567,1773757143.629567,s,77.308447,s,9.29,mV
2026-03-17,15:19:03.879633,1773757143.879633,s,77.558513,s,9.94,mV
2026-03-17,15:19:04.129891,1773757144.129891,s,77.808771,s,9.94,mV
2026-03-17,15:19:04.379953,1773757144.379953,s,78.058833,s,9.94,mV
2026-03-17,15:19:04.630388,1773757144.630388,s,78.309268,s,9.94,mV
2026-03-17,15:19:04.880222,1773757144.880222,s,78.559102,s,11.66,mV
2026-03-17,15:19:05.130840,1773757145.13084,s,78.80972,s,11.66,mV
2026-03-17,15:19:05.380543,1773757145.380543,s,79.059423,s,11.66,mV
2026-03-17,15:19:05.631224,1773757145.631224,s,79.310104,s,11.83,mV
2026-03-17,15:19:05.880849,1773757145.880849,s,79.559729,s,11.83,mV
2026-03-17,15:19:06.131650,1773757146.13165,s,79.81053,s,13.53,mV
2026-03-17,15:19:06.381121,1773757146.381121,s,80.060001,s,13.53,mV
2026-03-17,15:19:06.632041,1773757146.632041,s,80.310921,s,13.21,mV
2026-03-17,15:19:06.881553,1773757146.881553,s,80.560433,s,13.21,mV
2026-03-17,15:19:07.132434,1773757147.132434,s,80.811314,s,13.73,mV
2026-03-17,15:19:07.381994,1773757147.381994,s,81.060874,s,13.73,mV
2026-03-17,15:19:07.632864,1773757147.632864,s,81.311744,s,13.73,mV
2026-03-17,15:19:07.882552,1773757147.882552,s,81.561432,s,13.99,mV
2026-03-17,15:19:08.133402,1773757148.133402,s,81.812282,s,13.99,mV
2026-03-17,15:19:08.382862,1773757148.382862,s,82.061742,s,13.4,mV
2026-03-17,15:19:08.633909,1773757148.633909,s,82.312789,s,13.4,mV
2026-03-17,15:19:08.883200,1773757148.8832,s,82.56208,s,13.4,mV
2026-03-17,15:19:09.134351,1773757149.134351,s,82.813231,s,12.51,mV
2026-03-17,15:19:09.383640,1773757149.38364,s,83.06252,s,12.51,mV
2026-03-17,15:19:09.634686,1773757149.634686,s,83.313566,s,11.0,mV
2026-03-17,15:19:09.884085,1773757149.884085,s,83.562965,s,11.0,mV
2026-03-17,15:19:10.135124,1773757150.135124,s,83.814004,s,11.0,mV
2026-03-17,15:19:10.384501,1773757150.384501,s,84.063381,s,11.0,mV
2026-03-17,15:19:10.635606,1773757150.635606,s,84.314486,s,9.71,mV
2026-03-17,15:19:10.884947,1773757150.884947,s,84.563827,s,9.71,mV
2026-03-17,15:19:11.135930,1773757151.13593,s,84.81481,s,9.71,mV
2026-03-17,15:19:11.385213,1773757151.385213,s,85.064093,s,9.61,mV
2026-03-17,15:19:11.636211,1773757151.636211,s,85.315091,s,9.61,mV
2026-03-17,15:19:11.885659,1773757151.885659,s,85.564539,s,9.71,mV
2026-03-17,15:19:12.136510,1773757152.13651,s,85.81539,s,9.71,mV
2026-03-17,15:19:12.386057,1773757152.386057,s,86.064937,s,9.71,mV
