Date,Time,Time since 1970-01-01T00:00:00Z,,Time since start of measurement,,U_H,,U,,T,
2026-05-07,16:16:37.014824,1778163397.014824,s,930.072152,s,46.84375,mV,1.5983749628067017,V,41.662498474121094,°C
2026-05-07,16:16:42.007505,1778163402.007505,s,935.064833,s,46.8515625,mV,1.5980000495910645,V,41.625,°C
2026-05-07,16:16:47.015290,1778163407.01529,s,940.072618,s,46.8515625,mV,1.597499966621399,V,41.57500076293945,°C
2026-05-07,16:16:52.007956,1778163412.007956,s,945.065284,s,46.8671875,mV,1.5971250534057617,V,41.537498474121094,°C
2026-05-07,16:16:57.016658,1778163417.016658,s,950.073986,s,46.8671875,mV,1.596750020980835,V,41.5,°C
2026-05-07,16:17:02.008645,1778163422.008645,s,955.065973,s,46.8671875,mV,1.5963749885559082,V,41.462501525878906,°C
2026-05-07,16:17:07.016910,1778163427.01691,s,960.074238,s,46.8671875,mV,1.5958750247955322,V,41.42499923706055,°C
2026-05-07,16:17:12.009211,1778163432.009211,s,965.066539,s,46.875,mV,1.5954999923706055,V,41.38750076293945,°C
2026-05-07,16:17:17.018083,1778163437.018083,s,970.075411,s,46.875,mV,1.5952500104904175,V,41.337501525878906,°C
2026-05-07,16:17:22.009746,1778163442.009746,s,975.067074,s,46.8828125,mV,1.5947500467300415,V,41.29999923706055,°C
2026-05-07,16:17:27.018443,1778163447.018443,s,980.075771,s,46.8828125,mV,1.5943750143051147,V,41.26250076293945,°C
2026-05-07,16:17:32.011226,1778163452.011226,s,985.068554,s,46.8828125,mV,1.5941250324249268,V,41.224998474121094,°C
2026-05-07,16:17:37.018787,1778163457.018787,s,990.076115,s,46.890625,mV,1.59375,V,41.1875,°C
2026-05-07,16:17:42.012792,1778163462.012792,s,995.07012,s,46.890625,mV,1.5933749675750732,V,41.162498474121094,°C
2026-05-07,16:17:47.019220,1778163467.01922,s,1000.076548,s,46.8984375,mV,1.593000054359436,V,41.11249923706055,°C
2026-05-07,16:17:52.014517,1778163472.014517,s,1005.071845,s,46.8984375,mV,1.5927499532699585,V,41.087501525878906,°C
2026-05-07,16:17:57.020442,1778163477.020442,s,1010.07777,s,46.8984375,mV,1.5923750400543213,V,41.04999923706055,°C
2026-05-07,16:18:02.015104,1778163482.015104,s,1015.072432,s,46.8984375,mV,1.5920000076293945,V,41.01250076293945,°C
2026-05-07,16:18:07.021599,1778163487.021599,s,1020.078927,s,46.90625,mV,1.5916249752044678,V,40.974998474121094,°C
2026-05-07,16:18:12.016413,1778163492.016413,s,1025.073741,s,46.90625,mV,1.5913749933242798,V,40.95000076293945,°C
2026-05-07,16:18:17.022014,1778163497.022014,s,1030.079342,s,46.90625,mV,1.590999960899353,V,40.912498474121094,°C
2026-05-07,16:18:22.017481,1778163502.017481,s,1035.074809,s,46.9140625,mV,1.590749979019165,V,40.88750076293945,°C
2026-05-07,16:18:27.022387,1778163507.022387,s,1040.079715,s,46.90625,mV,1.5903749465942383,V,40.849998474121094,°C
2026-05-07,16:18:32.018009,1778163512.018009,s,1045.075337,s,46.9140625,mV,1.5901249647140503,V,40.8125,°C
2026-05-07,16:18:37.022742,1778163517.022742,s,1050.08007,s,46.9140625,mV,1.589750051498413,V,40.787498474121094,°C
2026-05-07,16:18:42.018506,1778163522.018506,s,1055.075834,s,46.9140625,mV,1.5894999504089355,V,40.75,°C
2026-05-07,16:18:47.023097,1778163527.023097,s,1060.080425,s,46.9140625,mV,1.5891250371932983,V,40.724998474121094,°C
2026-05-07,16:18:52.019906,1778163532.019906,s,1065.077234,s,46.921875,mV,1.5888750553131104,V,40.70000076293945,°C
2026-05-07,16:18:57.023453,1778163537.023453,s,1070.080781,s,46.921875,mV,1.5886249542236328,V,40.662498474121094,°C
2026-05-07,16:19:02.020383,1778163542.020383,s,1075.077711,s,46.921875,mV,1.5883749723434448,V,40.63750076293945,°C
2026-05-07,16:19:07.024200,1778163547.0242,s,1080.081528,s,46.9296875,mV,1.5881249904632568,V,40.599998474121094,°C
2026-05-07,16:19:12.021000,1778163552.021,s,1085.078328,s,46.9296875,mV,1.58774995803833,V,40.57500076293945,°C
2026-05-07,16:19:17.025159,1778163557.025159,s,1090.082487,s,46.9375,mV,1.587499976158142,V,40.54999923706055,°C
