Zeit t / s;Spannungsquelle S_1;Ereignisse N_A;Kanal n_A;Energie E_A / keV;Rate R_A / 1/s
;;0;457;1796,05263157895;
;;0;458;1800,06842105263;
;;0;459;1804,08421052632;
;;0;460;1808,1;
;;0;461;1812,11578947368;
;;0;462;1816,13157894737;
;;3;463;1820,14736842105;
;;1;464;1824,16315789474;
;;0;465;1828,17894736842;
;;0;466;1832,19473684211;
;;1;467;1836,21052631579;
;;0;468;1840,22631578947;
;;1;469;1844,24210526316;
;;1;470;1848,25789473684;
;;0;471;1852,27368421053;
;;0;472;1856,28947368421;
;;0;473;1860,30526315789;
;;0;474;1864,32105263158;
;;0;475;1868,33684210526;
;;1;476;1872,35263157895;
;;1;477;1876,36842105263;
;;0;478;1880,38421052632;
;;0;479;1884,4;
;;0;480;1888,41578947368;
;;0;481;1892,43157894737;
;;1;482;1896,44736842105;
;;1;483;1900,46315789474;
;;0;484;1904,47894736842;
;;0;485;1908,49473684211;
;;0;486;1912,51052631579;
;;1;487;1916,52631578947;
;;0;488;1920,54210526316;
;;0;489;1924,55789473684;
;;1;490;1928,57368421053;
;;0;491;1932,58947368421;
;;0;492;1936,60526315789;
;;1;493;1940,62105263158;
;;0;494;1944,63684210526;
;;0;495;1948,65263157895;
;;0;496;1952,66842105263;
;;1;497;1956,68421052632;
;;0;498;1960,7;
;;0;499;1964,71578947368;
;;0;500;1968,73157894737;
;;0;501;1972,74736842105;
;;0;502;1976,76315789474;
;;2;503;1980,77894736842;
;;0;504;1984,79473684211;
;;0;505;1988,81052631579;
;;0;506;1992,82631578947;
;;1;507;1996,84210526316;
;;0;508;2000,85789473684;
;;1;509;2004,87368421053;
;;0;510;2008,88947368421;
;;152;511;2012,90526315789;
